Time,UniqueCode,Block,Sblock,Treatment,RealTreatment,Species,Height,Diameter,Nb_leaves,WiltingStage,Chloro,R,gs,gs_bis,FvFm,Asat,E,WUE
t21,775,4,1,D1,,Vir.sur,,,,,45.4,,11.1,,783,1.03333333,0.53166667,1.98166667
t21,776,4,1,D1,,Vir.sur,,,,,38.9,,16.9,,864,1.81428571,0.60857143,3.14
t27,132,1,3,D2,,Epe.fal,,,,,42.1,,3.8,,750,0.07,0.236,0.304
t27,133,1,3,D2,,Epe.fal,,,,,38.4,,2.22,,703,0.15,0.20875,0.72625
t27,219,1,4,C0,,Epe.fal,,,,,35.3,,395,,801,9.73,2.889,3.367
t27,253,2,1,D2,,Epe.fal,,,,,38,,1.82,,572,0.09,0.367,0.24
t27,266,2,1,D2,,Iry.hos,,,,,52.7,,86,,758,5.86666667,1.24666667,4.71916667
t27,272,2,1,D2,,Iry.hos,,,,,38,,29,,790,1.77,0.647,2.74
t27,457,3,1,C0,,Iry.hos,,,,,39.8,,111,,710,6.07,2.926,2.075
t27,461,3,1,C0,,Iry.hos,,,,,39,,179,,808,8.53,2.788,3.068
t27,462,3,1,C0,,Iry.hos,,,,,38,,228,,670,7.13333333,2.78083333,2.57
t27,490,3,1,C0,,Epe.fal,,,,,46.4,,236,,815,5.9875,1.3975,4.285
t27,492,3,1,C0,,Epe.fal,,,,,44.7,,133,,789,5.66666667,0.236,3.56333333
t27,637,3,4,D2,,Iry.hos,,,,,43.1,,26.6,,773,2.14,0.654,3.278
t27,639,3,4,D2,,Iry.hos,,,,,51.5,,5.2,,816,2.41666667,0.61083333,3.98666667
t27,651,3,4,D2,,Epe.fal,,,,,39.8,,2,,700,-0.0125,0.33375,-0.04375
t27,655,3,4,D2,,Epe.fal,,,,,47.4,,1.92,,806,0.80909091,0.35090909,2.31
t27,810,4,2,D2,,Iry.hos,,,,,43.6,,3.5,,766,4.64285714,1.71285714,2.74428571
t27,144,1,3,D2,,Tac.mel,,,,,26.8,,11.7,,794,2.08333333,0.5675,3.67916667
t27,158,1,3,D2,,Pte.off,,,,,61,,3,,839,5.61666667,0.99833333,5.62833333
t27,164,1,3,D2,,Sym.off,,,,,36.6,,32.5,,686,2.125,0.915,2.32583333
t27,179,1,4,C0,,Tac.mel,,,,,40.5,,234,,838,8.59,2.307,3.726
t27,181,1,4,C0,,Tac.mel,,,,,32.3,,147,,823,5,1.699,2.944
t27,198,1,4,C0,,Pte.off,,,,,49.7,,28.6,,787,6.67,2.578,2.589
t27,225,2,1,D2,,Sym.off,,,,,38.7,,174,,814,0.33,0.238,1.375
t27,232,2,1,D2,,Sym.off,,,,,26.6,,31,,829,2.51,0.849,2.956
t27,235,2,1,D2,,Jac.cop,,,,,39.2,,54,,822,6.37,1.316,4.841
t27,245,2,1,D2,,Tac.mel,,,,,38.3,,4.75,,822,-0.02727273,0.35909091,-0.07545455
t27,278,2,1,D2,,Pte.off,,,,,60.9,,3.05,,829,5.58571429,0.9652381,5.81047619
t27,285,2,2,C0,,Sym.off,,,,,37.2,,292,,778,7.3,3.768,1.938
t27,325,2,2,C0,,Pte.off,,,,,50.7,,62,,816,7.09,1.712,4.143
t27,470,3,1,C0,,Pte.off,,,,,56.9,,153,,838,13.8,3.205,4.306
t27,479,3,1,C0,,Sym.off,,,,,43.4,,435,,753,4.08,2.872,1.42
t27,536,3,2,C0,,Jac.cop,,,,,54.6,,228,,841,10.4,2.861,3.635
t27,560,3,2,C0,,Sym.off,,,,,26.9,,194,,806,0.75714286,1.32857143,0.57285714
t27,619,3,4,D2,,Sym.off,,,,,37.5,,99,,531,5.06,1.416,3.603
t27,623,3,4,D2,,Sym.off,,,,,49.6,,147,,837,7.75,2.078,3.73
t27,641,3,4,D2,,Jac.cop,,,,,35.8,,13.9,,801,2.94,0.811,3.628
t27,644,3,4,D2,,Jac.cop,,,,,48.5,,7.7,,805,4.83636364,1.32545455,3.64909091
t27,657,3,4,D2,,Tac.mel,,,,,29.6,,153,,758,3.37692308,1.13769231,2.97307692
t27,659,3,4,D2,,Tac.mel,,,,,33.6,,20.8,,795,0.94,0.428,2.198
t27,662,3,4,D2,,Tac.mel,,,,,33,,15.9,,815,4.18181818,0.83818182,4.98909091
t27,788,4,2,D2,,Pte.off,,,,,52.7,,2.66,,781,0.67142857,0.45642857,1.47928571
t27,790,4,2,D2,,Pte.off,,,,,47.7,,3.3,,820,0.95833333,0.34166667,2.81166667
t27,791,4,2,D2,,Pte.off,,,,,45.6,,4.3,,800,1.12,0.356,3.149
t27,837,4,2,D2,,Jac.cop,,,,,46.1,,4.55,,699,3.44,1.026,3.356
t27,840,4,2,D2,,Jac.cop,,,,,44.3,,88,,875,2.94,0.811,3.628
t27,905,4,5,C0,,Jac.cop,,,,,33.3,,238,,807,5.75,5.49875,1.0475
t27,908,4,5,C0,,Jac.cop,,,,,52.3,,156,,849,6.2625,2.57875,2.4275
t27,940,4,5,C0,,Tac.mel,,,,,30.4,,248,,837,4.78571429,1.66642857,2.89571429
t27,935,4,5,C0,,Vir.sur,,,,,34.8,,520,,861,9.6733,3.2947,2.9447
t27,315,2,2,C0,,Vir.sur,,,,,47.6,,248,,825,7.2286,3.0557,2.3657
t27,318,2,2,C0,,Vir.sur,,,,,41.1,,256,,849,6.9692,2.0615,3.3815
t27,264,2,1,D2,,Vir.sur,,,,,44.1,,5.5,,790,-0.075,0.4158,-0.1825
t27,118,1,3,D2,,Vir.sur,,,,,43.7,,20,,874,2.7167,0.8633,3.1483
t27,797,4,2,D2,,Vir.sur,,,,,39.1,,111,,860,6.6231,1.9992,3.3123
t27,257,2,1,D2,,Vir.sur,,,,,40.2,,4.6,,763,0.6214,0.3736,1.6707
t27,262,2,1,D2,,Vir.sur,,,,,61.4,,36,,838,4.15,0.776,5.349
t51,65,1,2,D1,,Iry.hos,,,,,42.7,,58,,817,7.65,2.4,3.19
t51,68,1,2,D1,,Iry.hos,,,,,41.8,,110,,798,3.36,1.03,3.27
t51,71,1,2,D1,,Iry.hos,,,,,41.8,,105,,461,3.14,0.92,3.43
t51,105,1,2,D1,,Epe.fal,,,,,29.1,,193,,818,5.45,1.96,2.4
t51,106,1,2,D1,,Epe.fal,,,,,49.5,,90,,832,8.25,1.8,4.59
t51,218,1,4,C0,,Epe.fal,,,,,43.1,,198,,822,6.74,2.09,3.23
t51,405,2,5,D1,,Epe.fal,,,,,59.9,,165,,829,7.53,2.25,3.35
t51,423,2,5,D1,,Iry.hos,,,,,41.4,,42.5,,568,3.66,1.28,2.89
t51,489,3,1,C0,,Epe.fal,,,,,25.3,,284,,815,5.51,2.62,2.1
t51,506,3,2,C0,,Epe.fal,,,,,34.3,,315,,826,9.42,2.56,3.68
t51,464,3,1,C0,,Iry.hos,,,,,35.6,,19.1,,688,8.04,1.96,4.1
t51,538,3,2,C0,,Iry.hos,,,,,40.5,,29,,795,7.1,2.66,2.67
t51,611,3,3,D1,,Iry.hos,,,,,36.4,,34,,588,2.75,1.41,1.95
t51,739,4,1,D1,,Epe.fal,,,,,38.4,,64,,822,6.12,1.62,3.78
t51,740,4,1,D1,,Epe.fal,,,,,23.6,,6.7,,753,0.45,1.06,0.43
t51,915,4,5,C0,,Iry.hos,,,,,38.2,,29,,792,1.32,2.38,0.55
t51,59,1,2,D1,,Pte.off,,,,,47.3,,100,,811,11.64,3.09,3.77
t51,60,1,2,D1,,Pte.off,,,,,50.5,,425,,889,13.76,2.85,4.84
t51,64,1,2,D1,,Pte.off,,,,,46.8,,320,,888,1.79,1.06,1.7
t51,103,1,2,D1,,Jac.cop,,,,,39.6,,11.8,,632,5.71,2.69,2.43
t51,214,1,4,C0,,Jac.cop,,,,,36.3,,136,,668,6.36,2.54,2.5
t51,310,2,2,C0,,Jac.cop,,,,,41.5,,33.5,,665,6.57,1.83,3.59
t51,487,3,1,C0,,Jac.cop,,,,,35.7,,210,,667,8.04,3.1,2.59
t51,398,2,5,D1,,Pte.off,,,,,61.5,,420,,860,3.19,0.82,3.88
t51,410,2,5,D1,,Jac.cop,,,,,64.3,,126,,840,6.79,1.47,4.61
t51,325,2,2,C0,,Pte.off,,,,,53.2,,530,,868,6.11,2.02,3.03
t51,522,3,2,C0,,Pte.off,,,,,31.5,,320,,805,9.54,2.17,4.4
t51,564,3,3,D1,,Jac.cop,,,,,39.7,,64,,906,5.07,1.48,3.42
t51,568,3,3,D1,,Jac.cop,,,,,44.2,,262,,907,5.67,2.18,2.6
t51,732,4,1,D1,,Pte.off,,,,,44.9,,470,,897,4.67,1.5,3.13
t51,762,4,1,D1,,Jac.cop,,,,,36.2,,10.3,,677,2.24,1.54,1.46
t51,899,4,5,C0,,Pte.off,,,,,51.5,,300,,840,13.53,3.93,3.44
t51,203,1,4,C0,,Sym.off,,,,,52.9,,365,,868,7.44,3.51,2.41
t51,281,2,2,C0,,Sym.off,,,,,36.8,,59,,829,3.83,2.29,1.48
t51,553,3,2,C0,,Sym.off,,,,,34.7,,218,,864,5.83,2.39,2.42
t51,76,1,2,D1,,Sym.off,,,,,49.6,,93,,894,6.57,2.39,2.67
t51,442,2,5,D1,,Sym.off,,,,,54.8,,62,,879,5.58,1.73,3.13
